contact_ratio,contact_steps,end_effector_movement,episode_idx,final_object_to_target_distance,final_success,force_std,friction_value,mass_scale,max_force,max_object_step_displacement,mean_force,motion_ratio,object_rotation_change_deg,post_probe_object_to_target_distance,probe_end_step,probe_obj_displacement,probe_start_step,probe_triggered,probe_video_path,setting_name,sweep_type,target_body_names,target_instance,target_reference,target_site_names,task_id,task_name,total_ee_motion,total_obj_motion,video_path
0.06862745098039216,6,0.0077168322168290615,0,0.15488001704216003,False,0.0002545315946917981,0.2,1.0,0.003952509257942438,0.04148009419441223,2.8280239348532632e-05,0.2702564784490136,0.4221227590207912,0.26036718487739563,39,0.0010266198078170419,33,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.984511137008667,0.26607078313827515,
0.0,0,0.0,1,0.28473687171936035,False,2.307979327374634e-17,0.2,1.0,4.245309544001648e-16,0.0,4.154321066284244e-17,0.0,0.0,,,0.0,,False,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,1.0978256464004517,0.0,
0.12745098039215685,1,0.004452131222933531,2,0.31768718361854553,False,0.00027314593899063766,0.2,1.0,0.0019677646923810244,0.007579166442155838,0.00010445911175338551,0.08720790274462448,0.3716285598831447,0.2674403190612793,113,4.801368777407333e-05,107,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.8993275761604309,0.07842855900526047,
0.5154639175257731,6,0.002868948969990015,3,0.053342971950769424,True,0.0012774292845278978,0.2,1.0,0.010849446058273315,0.018106065690517426,0.0002637500292621553,0.5321499154419219,2.6983166730147006,0.28528404235839844,52,0.0043739499524235725,46,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.7876465320587158,0.4191465675830841,
0.5058823529411764,6,0.009766803123056889,4,0.07141583412885666,True,0.00030040027922950685,0.2,1.0,0.0019943611696362495,0.03916817903518677,8.80512161529623e-05,0.539471292564441,8.119181012733435,0.261222243309021,46,0.006637610029429197,40,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.6636676788330078,0.35803020000457764,
0.4636363636363636,6,0.00332030956633389,5,0.07683897763490677,True,0.00033543555764481425,0.2,1.0,0.00311336200684309,0.012589327059686184,7.633274071849883e-05,0.45261508366216696,3.187685301855613,0.2820984125137329,64,0.002139580436050892,58,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.7016109824180603,0.3175601661205292,
0.14840989399293286,6,0.00458173081278801,6,0.07893848419189453,True,0.00017172736988868564,0.2,1.0,0.001834605005569756,0.026496782898902893,2.8113216103520244e-05,0.47740588555486924,2.3979837521074616,0.27475839853286743,246,0.0016807487700134516,240,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.7587260603904724,0.36222076416015625,
0.5434782608695652,6,0.003791889874264598,7,0.0403154157102108,True,0.0005350984283722937,0.2,1.0,0.003537908662110567,0.012901583686470985,0.00017918366938829422,0.5612029962542808,6.99597915386218,0.26862895488739014,47,0.011834338307380676,41,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.7675013542175293,0.4307246208190918,
0.4230769230769231,6,0.009135629050433636,8,0.0644514188170433,True,0.00037305205478332937,0.2,1.0,0.002488400088623166,0.013037714175879955,0.0001092739257728681,0.4868910851017794,2.956940445663517,0.2616722583770752,66,0.0017024530097842216,60,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.7458480000495911,0.36314722895622253,
0.5408163265306123,6,0.00574121018871665,9,0.057346440851688385,True,0.00013279561244416982,0.2,1.0,0.0008719431352801621,0.022457927465438843,6.547931116074324e-05,0.5122945154984871,1.6332246839929048,0.27374041080474854,50,0.0008744181832298636,44,True,,friction_mu_0.2,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.7702508568763733,0.39459580183029175,
0.5632183908045977,6,0.0043928553350269794,0,0.05121630057692528,True,0.0006579088512808084,0.7,1.0,0.005005257204174995,0.013286749832332134,0.00020013164612464607,0.5432049013327109,3.177157468364216,0.26736995577812195,43,0.004823713097721338,37,True,,friction_mu_0.7,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.7869581580162048,0.4274800717830658,
0.0,0,0.0,1,0.28338924050331116,False,2.3233865589001692e-17,0.7,1.0,4.245309544001648e-16,0.0,4.2127445020766194e-17,0.0,0.0,,,0.0,,False,,friction_mu_0.7,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.8581331968307495,0.0,
0.6304347826086957,6,0.012650098651647568,2,0.05826353281736374,True,0.0004660777922254056,0.7,1.0,0.004421176388859749,0.012863460928201675,0.0001021364878397435,0.5844171529908815,15.215218981429329,0.272296667098999,40,0.012863460928201675,34,True,,friction_mu_0.7,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.691893458366394,0.404354989528656,
0.3739130434782609,4,0.00309929670765996,3,0.06736423075199127,True,0.0004254834493622184,0.7,1.0,0.0035261986777186394,0.012823140248656273,0.00012113575212424621,0.5385096941661391,7.021530085115681,0.2574101388454437,75,0.008258877322077751,69,True,,friction_mu_0.7,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.724658727645874,0.3902362883090973,
0.5,6,0.009595399722456932,4,0.06784850358963013,True,0.0004367681685835123,0.7,1.0,0.003129923716187477,0.013414720073342323,0.0001371284743072465,0.47648641069433434,9.880241506656727,0.26364263892173767,47,0.00738663412630558,41,True,,friction_mu_0.7,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.719093382358551,0.34263870120048523,
0.5625,6,0.004883459769189358,5,0.07394381612539291,True,0.000296274374704808,0.7,1.0,0.0020078010857105255,0.016760753467679024,0.00010930965800071135,0.5669719185313044,1.9353907029041617,0.28380587697029114,46,0.000989677500911057,40,True,,friction_mu_0.7,friction,['akita_black_bowl_1_main'],akita_black_bowl_1,flat_stove_1_cook_region,['flat_stove_1_cook_region'],1,put the bowl on the stove,0.8260546922683716,0.4683503806591034,
